Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Massachusetts;By Zaroulis, Nancy;"A panoramic saga based on the history of the New England state begins as an orphan boy, Bartholomew Revell, steps off the ""Mayflower,"" and follows his descendants through four hundred years of uprisings, witch-hunts, wars, and other challenges"; Fiction , General;Fawcett;10.99;March;1991
Reinventing Yourself With The Duchess Of York: Inspiring Stories and Strategies for Changing Your Weight and Your Life;By York, Sarah Mountbatten-Windsor, Duchess of and Weight Watchers International (EDT);"Are you ready to change your life? Join Sarah, The Duchess of York on an inspiring journey to help you rediscover -- and achieve -- your true goals. Today, The Duchess of York is a confident, single working mother of two girls. But, as most of the world knows, that wasn't always the case. Once targeted by the international press, The Duchess has learned one of life's great lessons: how to uncover what you want out of life and get it. She reveals how the ups and downs of her life -- including her divorce, her financial problems, and the deaths of those close to her -- have made her a stronger, wiser person and a better mother. In the first chapter, ""Transforming My Life,"" The Duchess explores how, when and why she decided to take charge and reinvent her life. In the chapters that follow, readers will discover how they, too, can change their own lives. The book provides a series of self-assessment quizzes and questionnaires, as well as concrete steps you can take to initiate change. Throughout, The Duchess offers her insights, including how each chapter topic relates to her life and what she has learned from others. Reinventing Yourself with The Duchess of York supplies a blueprint for action for anyone seeking to change her life. In an easy-to-follow format, the book provides concrete information and advice on how to use an eight-step plan to achieve your goals -- whether it's losing weight, getting fit, or simply improving your health.Reinventing Yourself also explains how to apply the plan to other areas of life, including changing careers, starting over after divorce, and more. To help inspire you toward your goals, Reinventing Yourself also includes heartwarming and motivating profiles of women who have redefined their lives: Weight Watchers Leaders, real women who have lost weight and transformed their lives in countless ways. In interviews with The Duchess and profiles throughout, these women explore how to make the best of your circumstances, live a happier, healthier life, and change your destiny."; Self-help , Affirmations;Simon & Schuster;5.29;January;2001
Live from the Battlefield: From Vietnam to Baghdad--35 Years in the World's War Zones;By Arnett, Peter;"Peter Arnett is undeniably the dean of his generation's war correspondents, a breed apart. Daring, wily, willing to put himself at enormous risk for a story. Arnett is a thinking man and a man of action.From his youth in New Zealand in the 1940s, Arnett knew journalism would be his ticket to the world. And it was - to Bangkok; then to Laos, where Arnett swam across the Mekong River to file his dispatches from Thailand; and then on to Indonesia, where he traveled with Sukarno until he was expelled after only thirteen months for his reporting on the developing war.In 1962, Arnett was sent to Vietnam along with David Halberstam, Neil Sheehan, Mal Browne, Stanley Karnow and the rest of a new young group of foreign correspondents that would later include Dan Rather, Ted Koppel and Peter Jennings. When American ground forces were committed, Arnett went right in with them. His controversial coverage for the Associated Press incurred the wrath of President Johnson but won him a Pulitzer Prize. After the fall of Saigon, when many of his peers had gone, Arnett stayed behind to get the whole story.With the dedication, passion and intelligence that one finds in great foreign correspondents, Arnett has pursued the whole story ever since. After covering wars in Cyprus and Lebanon, he joined CNN in 1981. News was going live, twenty-four hours a day, and Arnett was going with it - from San Salvador to Moscow to Iraq. And then to Afghanistan, after the defeat of the Soviet-sponsored government, a place of anarchic conflict, where Islamic radicals plot to export terrorism to the mainland United States.Satellite communications have forever changed the way we see war. Arnett's on-the-ground reporting of the Gulf War from Baghdad had an immediacy and suspense we had not experienced before. No one who watched will ever forget.Now, in the same vivid eye-of-the-Desert-Storm way in which he reported the drama and danger of the Gulf War, Peter Arnett shares the adventures, the gambles and the glory of his lifemore than thirty-five years inside the world's war zones."; Biography & Autobiography , General;Simon & Schuster;19.96;January;1994
Hearse of a Different Color;By Cockey, Tim;"Hitchcock Sewell, Baltimore's hippest undertaker and civilian sleuth, is back in a second sly, original mystery.One of the most charming and offbeat amateur detectives to come around in years, Hitchcock Sewell does for the undertaking profession what Marilyn Monroe did for the ukulele--gives it a touch of class. In this rollicking follow-up to Tim Cockey's ""witty, punchy, snappy, well-written, and dang funny debut"" (Harlan Coben, author of The Final Detail), a surprise blizzard dumps more than snow on the steps of Sewell & Sons funeral home--it leaves behind the corpse of a murdered waitress as well. Hitch's television meteorologist girlfriend sees the crime as an opportunity to move into hard news. Her unctuous mentor wants to beat Hitch to the punch. Hitch's snooping takes him from low-life strip joints to high-tone mansions, proving yet again that undertakers and their clue-happy cohorts can be a pretty lively bunch."; Fiction , Mystery & Detective , General;Hachette Books;5.29;February;2001
Let Me Tell You a Story;By Feinstein, John;"The life story of the famed professional basketball coach documents his seventeen-year tenure with the Boston Celtics, during which the team achieved nine NBA championships; his relationships with such players as Larry Bird, Wilt Chamberlain, and Michael Jordan; and his post-retirement consultation work with top coaches and players. Reprint. 125,000 first printing."; Sports & Recreation , Basketball;Back Bay Books;5.29;October;2005
How I Photograph Wildlife and Nature;By Rue, Leonard Lee;The author describes the equipment and techniques he uses, explains how to photograph scenery, wildflowers, insects, reptiles, birds, and animals, and includes advice on transportation, underwater photography, and selling photos;;W W Norton & Co Inc;10.99;October;1984
Peter and the Starcatchers;By Barry, Dave, Pearson, Ridley, and Call, Greg (ILT);Don't even think of starting this book unless you're sitting in a comfortable chair and have lots of time. A fast-paced, impossible-to-put-down adventure awaits as the young orphan Peter and his mates are dispatched to an island ruled by the evil King Zarboff. They set sail aboard the Never Land, a ship carrying a precious and mysterious trunk in its cargo hold-and the journey quickly becomes fraught with excitement and danger. Discover richly developed characters in the sweet but sophisticated Molly, the scary but familiar Black Stache, and the fearless Peter. Treacherous battles with pirates, foreboding thunderstorms at sea, and evocative writing immerse the reader in a story that slowly and finally reveals the secrets and mysteries of the beloved Peter Pan.; Juvenile Fiction , Fantasy & Magic;Disney Editions;4.99;September;2004
To Lay a Hearth;By Myra Scovel;;;Harper & Row, Publishers;5.29;April;1968
The Lost Chronicles: The Official Companion Book with Bonus DVD Behind the Scenes of LOST;By Vaz, Mark Cotta;The Lost Chronicles is the first official tie-in book to the popular television series. The show takes place on a remote South Pacific island, where a plane crash has left 48 survivors stranded. Forced to scavenge what they can from the plane for their survival, some panic, some pin their hopes on rescue, a few find inner strength they never knew they had. The band of friends, family, enemies, and strangers must work together against the cruel weather and harsh terrain if they want to stay alive. But the island holds many secrets, including the intense howls of the mysterious creatures stalking the jungle, which fill them all with fear. Fortunately, thanks to the calm leadership of quick-thinking Jack and level-headed Kate, they have hope. But even heroes have secrets, as the survivors will come to learn.; Performing Arts , Television , Direction & Production;Hyperion;6.04;September;2005
Crispin: The Cross of Lead (2003 John Newbery Medal Winner);By Avi;"H ""Avi's plot is engineered for maximum thrills, with twists, turns, and treachery aplenty. . . . A page-turner to delight Avi's fans, it will leave readers hoping for a sequel.""-Publishers Weekly (starred review) H "" . . . [T]he book is a page-turner from beginning to end . . . [A] meticulously crafted story, full of adventure, mystery, and action.""-School Library Journal (starred review)""Historical fiction at its finest.""-VOYA"; Juvenile Fiction , Readers , Intermediate;Little, Brown Books for Young Readers;4.99;June;2002
The Waite Group's Visual Basic 6 Superbible;By Mauer, Lowell, Conley, John D., III, Jung, David (EDT), Boutquin, Pierre, Eidahl, Loren, Purdum, Jack, and Jung, David;This book is the perfect resource for programmers who want comprehensive, updated coverage of the most common Visual Basic concepts and language elements. Concise descriptions detail everything you need to know about each Visual Basic command, component, and control. For quick reference, you can easily look up any function, statement, method, property, or event in the alphabetical jump table in the front of the book. Every example, project, and screenshot in the book has been created to reflect a professional coding style that takes advantage of all the new features of Visual Basic 6, making it an ideal source of knowledge for both beginners and experienced programmers.; Computers , Programming Languages , Visual BASIC;Sams;9.18;April;1999
Legendary Comedies;By Guttmacher, Peter;; Humor , General;Pub Overstock Unlimited Inc;5.23;September;1996
Collecting Teddy Bears & Dolls: The Facts at Your Fingertips;By Beckett, Alison;"Antique teddy bears and dolls often hit the headlines when they sell for record-breaking prices, yet they can be surprisingly affordable. This book contains all the essential information a budding collector needs to buy antique dolls and teddy bears and is packed with advice to help authenticate, date and value a wide range of models, along with tips on restoring, caring for, displaying and insuring your collection.This invaluable guide includes chapters on all the main types of doll, from 17th-century wooden dolls to special edition vinyl Sindy and Barbie dolls from the 1980s, comprehensive coverage of teddy bears, tracing their development from the first teddy bears made by Steiff in Germany in the 1900s to the wide range of highly collectible bears produced today, plus an extensive section on soft toys; over 330 full-color photographs and illustrations of dolls and teddy bears that can be found readily in antiques shops, auction houses and even fairs; and a price guide for every item shown."; Antiques & Collectibles , Dolls;Mitchell Beazley;5.82;September;1996
The Third Translation;By Bondurant, Matt;An ancient mystery, a hidden language, and the secrets of a bizarre Egyptian sect collide in modern-day London in this ingenious novel of seduction, conspiracy, and betrayal alter Rothschild is an American Egyptologist living in London and charged by the British Museum with the task of unlocking the ancient riddle of the Stela of Paser, one of the last remaining real-life hieroglyphic mysteries in existence today. The secrets of the stela-a centuries-old funerary stone-have evaded scholars for thousands of years due to the stela's cryptic reference to a third translation:; Fiction , Thrillers , Suspense;Hyperion;5.35;April;2005
Price and Quantity Trends in the Foreign Trade of the United States;By Lipsey, Robert.;;;Princeton University Press, Princeton, 1963.;12.99;January;1963
Extreme Makeover: The Official Companion Book;By Lutes, Rob and Hynes, Jim;Extreme Makeover: Home Edition single-handedly changed the face of reality TV with its heartfelt, philanthropic mission: to provide struggling families with safe, beautiful homes. In each episode, host Ty Pennington and the talented design team work around the clock for seven days to transform one needy family+s home into a place of comfort and love. The first season garnered an Emmy nomination for -Outstanding Reality Program+ and since then the show has only gained momentum, touching the hearts of millions every Sunday night. The official tie-in provides behind-the-scenes details on the challenging home makeovers, from demolition to last-minute decoration, profiles of the cast and crew, and profiles of the featured families-including the special circumstances that have inspired the Extreme Makeover: Home Edition team to turn these families+ houses into state-of-the-art homes-come-true. Beautiful full-color photos of the before and after transformations will run throughout.; Performing Arts , Television , Direction & Production;Hyperion;4.99;September;2005
Recipes from an Italian Farmhouse;By Harris, Valentina;Gathers traditional rural Italian recipes for soups, pasta, rice, meat, poultry, game, fish, seafood, vegetables, salads, eggs, cheese, and desserts; Cooking , General;Simon & Schuster;5.82;March;1990
Country: Crafts/Cooking/Decorating/Flowers;By Hermes House;;;Hermes House;9.66;January;1998
A Patriot's Handbook: Songs, Poems, Stories, and Speeches Celebrating the Land We Love;By Kennedy, Caroline (INT) and Kennedy, Caroline;"Now available in paperback, the New York Times bestseller. When John F. Kennedy called America ""the land we love"" more than 42 years ago, he was reminding us of the lofty ideals on which our country was founded. But what are those ideals, and how have Americans defined them Is America the land of George Washington and Franklin Delano Roosevelt, who rallied the country's spirits for unity in wartime, or is it a land of dissent, a land in which Frederick Douglass, Elizabeth Cady Stanton, and Martin Luther King, Jr. remind us of our duty to protect our most fundamental freedoms? Are we defined by the speeches of Thomas Jefferson and Ronald Reagan or by the humor of H.L. Mencken and Mark Twain? Caroline Kennedy's answer in A Patriot's Handbook is that we are all of those things and more. The poems, songs, speeches, letters, and historical documents that Caroline Kennedy has chosen for this remarkable collection remind us of the foundations on which America was built. But they also ask us to examine what it truly means to be a ""patriot,"" even if our assumptions are challenged along the way, because it is only by doing so that America can ""truly be our own."" Voices as diverse as the nation itself:  Thomas Jefferson Cole Porter Chief Red Jacket Amy Tan Betty Friedan Albert Einstein George W. Bush Loretta Lynn John F. Kennedy Martin Luther King, Jr. Bob Dylan Cesar Chavez Toni Morrison Groucho Marx and many more"; History , United States , General;Hyperion;8.79;April;2005
Front Row at the White House: My Life and Times;By Thomas, Helen;"""I'm still here, still arriving at the White House in the wee hours of the morning, reading the papers and checking the wire, still waiting for the morning briefing, still sitting down to write the first story of the day and still waiting to ask the tough questions.""  From the woman who has reported on every president from Kennedy to Clinton for United Press International: a unique glimpse into the White House -- and a telling record of the ever-changing relationship between the presidency and the press.  From her earliest years, Helen Thomas wanted to be a reporter. Raised in Depression-era Detroit, she worked her way to Washington after college and, unlike other women reporters who gave up their jobs to returning veterans, parlayed her copy-aide job at the Washington Daily News into a twelve-year stint as a radio news writer for UPI, covering such beats as the Department of Justice and other federal agencies.  Assigned to the White House press corps in 1961, Thomas was the first woman to close a press conference with ""Thank you, Mr. President,"" and has covered every administration since Kennedy's. Along the way, she was among the pioneers who broke down barriers against women in the national media, becoming the first female president of the White House Correspondents Association, the first female officer of the National Press Club and the first woman member, later president, of the Gridiron Club.  In this revealing memoir, which includes hundreds of anecdotes, insights, observations, and personal details, Thomas looks back at a career spent with presidents at home and abroad, on the ground and in the air. She evaluates the enormous changes that Watergate brought, including diminished press access to the Oval Office, and how they have affected every president since Nixon. Providing a unique view of the past four decades of presidential history, Front Row at the White House offers a seasoned study of the relationship between the chief executive officer and the press -- a relationship that is sometimes uneasy, sometimes playful, yet always integral to democracy.  ""Soon enough there will be another president, another first lady, another press secretary and a whole new administration to discover. I'm looking forward to it -- although I'm sure whoever ends up in the Oval Office in a new century may not be so thrilled about the prospect."""; Biography & Autobiography , Historical;Scribner;15.4;May;1999
The Knight and the Dragon (Paperstar Book);By dePaola, Tomie;"What happens when a sheepish knight and a not-so-fierce dragon fight for the very first time? Well, it's no ordinary battle since the knight has to go to the castle library to learn about dragon-fighting and the dragon must dig through his ancestor's things to find out how to fight a knight! ""Spontaneity of line and feeling are backed by zesty colors and a jovial, tongue-in-cheek tone to which children can relate—a top springtime choice."" —Booklist ""There's a swirl of good-humored life to the book."" —The New York Times Book Review"; Juvenile Fiction , Historical , Medieval;Puffin Books;4.99;February;1998
Artemis Fowl (Artemis Fowl, Book 1);By Colfer, Eoin;Twelve-year-old criminal mastermind Artemis Fowl, heir to the Fowl family empire and centuries-old legacy of scams and underworld machinations, decides to uncover the secret treasure of the Fairy People by stealing one of their magical books, decoding it with his computer, kidnapping leprechaun Holly Short, and taking on the entire forces of the fairy kingdom. Reprint. 200,000 first printing.; Juvenile Fiction , Fantasy & Magic;Disney Hyperion;4.99;June;2002
Don't Know Much About® the Civil War: Everything You Need to Know About America's Greatest Conflict but Never Learned (Don't Know Much About Series);By Davis, Kenneth C.;“Highly informative and entertaining…propels the reader light years beyond dull textbooks and Gone with the Wind.”—San Francisco ChronicleIt has been 150 years since the opening salvo of America’s War Between the States. New York Times bestselling author Ken Davis tells us everything we never knew about our nation’s bloodiest conflict in Don’t Know Much About ® the Civil War—another fascinating and fun installment in his acclaimed series.;History , United States , Civil War Period (1850-1877);Harper Paperbacks;8.79;September;1997
Tournament of Roses: A one hundred year celebration;By Hamlin, Rick;;;McGraw-Hill Companies;10.99;January;1988
George Washington and the Founding of a Nation (PB);By Marrin, Albert;Esteemed historian Albert Marrin offers an absorbing account of our first president's life and times in this biography, which was named a Booklist Editors' Choice and a School Library Journal Best Book.; Young Adult Nonfiction , History , United States , General;Dutton Juvenile;10.99;January;2003
Choose to Reuse: An Encyclopedia of Services, Businesses, Tools & Charitable Programs That Foster Reuse;By Goldbeck, Nikki and Goldbeck, David;Discusses ways to reduce, reuse, and recycle, lists recycling companies, and shares examples for everything from air filters to zippers; Science , Environmental Science;Ceres Pr;5.41;March;1995
Favorite Scary Stories of American Children;By Young, Judy Dockrey and Young, Richard;A collection, selected by children as their favorites, of twenty-three spooky tales from a variety of ethnic traditions; Juvenile Fiction , Horror;August House Pub Inc;4.99;October;1994
Horse People: Scenes from the Riding Life;By Korda, Michael and Korda, Michael (ILT);Bestselling author Michael Korda's Horse People is the story -- sometimes hilariously funny, sometimes sad and moving, always shrewdly observed -- of a lifetime love affair with horses, and of the bonds that have linked humans with horses for more than ten thousand years. It is filled with intimate portraits of the kind of people, rich or poor, Eastern or Western, famous or humble, whose lives continue to revolve around the horse.Korda is a terrific storyteller, and his book is intensely personal and seductive, a joy for everyone who loves horses. Even those who have never ridden will be happy to saddle up and follow him through the world of horses, horse people, and the riding life.; Pets , Horses;Harper Perennial;5.29;October;2004
The Joy of Work: Dilbert's Guide to Finding Happiness at the Expense of Your Co-Workers;By Adams, Scott;‘I cried because I did not have an office with a door, until I met a man who had no cubicle.’ DilbertA message from Scott Adams:I think the next wave of office design will focus on eliminating the only remaining obstacle to office productivity: your happiness. Happiness isn’t a physical thing, like walls and doors. But it’s closely related. Managers know that if they can eliminate all traces of happiness, the employees won’t be so picky about their physical surroundings. Once you’re hopelessly unhappy, you won’t bother to complain if your boss rolls you up in a tight ball and crams you into a cardboard box.As soon as I noticed this disturbing threat to workplace happiness, I did some investigative work and discovered it wasn’t confined to the issue of office design. Companies were making a direct frontal assault on employee happiness in every possible way! I knew there was only one thing that could stop the horror.It was time for another Dilbert book. It might sound corny, but I felt an obligation to society. People told me it was time for me to ‘give something back to the community.’ This scared me, until I realised that no one knows I furnished my house with street signs and park benches. So I interpreted the ‘give something back to the community’ message as a plea for me to write this book and then charge the community to read it.In the first part of this book I will tell you how to find happiness at the expense of your co-workers, managers, customers, and – best of all – those lazy stockholders. The second part of the book teaches you my top-secret methods for mining humour out of ordinary situations, thus making it easier to mock the people around you. The third part of the book is made entirely of invisible pages. If the book seems heavier than it looks, that’s why.Office Prank #44: Sounds That Drive Co-workers Crazy. You can produce sounds in the office that will drive your co-workers insane. That can be very entertaining. Every co-worker is different, so you might have to experiment to find the sounds that are most annoying to your cubicle neighbour. It’s worth the effort.; Humor , Topic , Business & Professional;Harper Paperbacks;5.29;September;1999
Shades of Gray;By Reeder, Carolyn;In the aftermath of the Civil War, recently orphaned Will must start a new life and overcome his prejudices. Courage wears many faces… The Civil War may be over, but for twelve-year-old Will Page, the pain and bitterness haven’t ended. How could they have, when the Yankees were responsible for the deaths of everyone in his entire immediate family? And now Will has to leave his comfortable home in the Shenandoah Valley and live with relatives he has never met, people struggling to eke out a living on their farm in the war-torn Virginia Piedmont. But the worst of it is that Will’s uncle Jed had refused to fight for the Confederacy. At first, Will regards his uncle as a traitor—or at least a coward. But as they work side by side, Will begins to respect the man. And when he sees his uncle stand up for what he believes in, Will realizes that he must rethink his definition of honor and courage.; Young Adult Fiction , Historical , United States , General;Aladdin;4.99;May;1999
The Center of Everything;By Moriarty, Laura;"""A warm, beguiling book full of hard-won wisdom.""--Janet Maslin, The New York Times ""The Center of Everything is as realistic and familiar as a summer day in Kansas--brave and gritty, strong voiced and spare.""--O, The Oprah Magazine Set in Kerrville, Kansas, The Center of Everything is told by Evelyn Bucknow, an endearing character with a wholly refreshing way of looking at the world. Living with her single mother in a small apartment, Evelyn Bucknow is a young girl wincing her way through adolescence. With a voice that is as charming as it is recognizable, Evelyn immerses the reader in the dramas of an entire community. The people of Kerrville, stuck at once in the middle of nowhere but also at the center of everything, are the source from which Moriarty draws on universal dilemmas of love and belief to render a story that grows in emotional intensity until it lifts the reader to heights achieved only by the finest of fiction."; Fiction , Coming of Age;Hachette Books;4.99;July;2004
Our Sacred Honor: Words of Advice from the Founders in Stories, Letters, Poems, and Speeches;By Bennett, William J. (EDT);;History , United States , Revolutionary Period (1775-1800);B & H Pub Group;4.99;September;1997
Born Free: A Lioness of Two Worlds;By Adamson, Joy;"There have been many accounts of the return to the wild of tame animals, but since its original publication in 1960, when the New York Times hailed it as a ""fascinating and remarkable book,"" Born Free has stood alone in its power to move us.Joy Adamson's story of a lion cub in transition between the captivity in which she is raised and the fearsome wild to which she is returned captures the abilities of both humans and animals to cross the seemingly unbridgeable gap between their radically different worlds. Especially now, at a time when the sanctity of the wild and its inhabitants is increasingly threatened by human development and natural disaster, Adamson's remarkable tale is an idyll, and a model, to return to again and again.Illustrated with the same beautiful, evocative photographs that first enchanted the world forty years ago and updated with a new introduction by George Page, former host and executive editor of the PBS series Nature and author of Inside the Animal Mind, this anniversary edition introduces to a new generation one of the most heartwarming associations between man and animal."; Nature , Animals , Wildlife;Pantheon;5.29;May;2000
Paradise Alley: A Novel;By Baker, Kevin;At the height of the Civil War, word spreads through the poorest quarters of New York City that a military draft is about to be implemented -- a draft from which any rich man's son can buy an exemption. The outrage this inspires escalates into the worst urban conflagration in American history.Down in the waterfront slum of Paradise Alley, three women -- Deirdre Dolan O'Kane, Ruth Dove, and Maddy Boyle -- struggle with their private fears as they wait for the storm to descend upon them. Deirdre, devastated by the news that her husband, Tom, has been wounded at Gettysburg, must turn for comfort and aid to two women she has always judged as morally depraved -- Ruth, married to an ex-slave, and Maddy, a hard-living prostitute. Kevin Baker's acclaimed masterpiece is an unforgettable portrait of three women who come together to protect their homes and families from the brutality of a city -- and a nation -- gone mad.; Fiction , Literary;Harper Perennial;5.41;October;2003
The American South: Four Seasons of the Land;By Bake, William;A respected newsman and television commentator and a veteran photographer combine forces to create an affectionate homage to the American South, capturing the beauty of country and city life and displaying the South's great regional diversity; Photography , General;Oxmoor House;7.59;September;1980
Brightness Reef (Bantam Spectra Book);By Brin, David;A million years ago, the advanced Buyur civilization held sway on Jijo. Then the Buyur abandoned the world, leaving it to rest and restore its ecological balance. Now the vast civilization of the Five Galaxies uses patrols, guardian machines, and sanctions of law to prevent resettlement until the planet is once more ready for civilized life.But over the centuries it has been resettled. Groups of sapient beings, fleeing persecution or neglect, have ignored the laws and evaded the patrols, landing in secret. After years of warfare and mistrust, a new society has evolved on forbidden Jijo, based on tolerance and respect among its six intelligent races: the mysterious hoon, the crablike qheuens, the centaurlike urs, the wheel-borne g'Kek, the multiple-personality-bearing graeki, and last of all to land on Jijo, humans from Earth, bringing with them a new technology allowing civilization to blossom in the wilderness. They all now live in hiding under canopies of camouflage, in dread of Judgment Day, when the Five Galaxies will certainly discover their illegal colony.Then the unthinkable happens. A strange starship arrives in Jijo's skies, landing near the settlers' holiest place. The passengers' appearance is familiar, their manner friendly. But do they bring long-feared judgment, or something far worse? Are they willing to destroy the six races of Jijo to cover their crimes?; Fiction , Science Fiction , General;Spectra;5.29;September;1995
You and I and Yesterday.;By Holmes, Marjorie;The author fondly recalls the joys and simplicity of her childhood days spent in the small Iowa town of Storm Lake during the twenties;;William Morrow & Co;14.62;September;1973
Confessions of a Neglected African Daughter;By Kwasi Bosompem;;;PRDC Publishing;5.56;April;2015
The 25-year War (Da Capo Paperback);By Palmer, Bruce;From May 1st, 1950, the day President Truman authorized the first U.S. military assistance to Indochina, to April 30th, 1975, the day Saigon fell to the North Vietnamese regime, America was engaged in the longest conflict in its history. This is the story of what went wrong. Bruce Palmer was the Vice Chief of Staff of the U.S. Army from 1968 to 1973. His insights into the key events and decisions that shaped America's military role in Vietnam are uncommonly perceptive. In this penetrating work, he not only presents an insider's history of the war, but also gives an astute critique of America's military strengths and weaknesses. This book is certain to become a standard reference for anyone seriously interested in how America lost the Vietnam war.; History , General;Da Capo Press;5.29;March;1990
Treasures of the Library of Congress;By Goodrum, Charles A;;;Harry Abrams;5.49;January;1980
The Song of Eve: Mythology and Symbols of the Goddess;By Mascetti, Manuela Dunn;; Religion , General;Fireside;5.64;September;1990
Georgian Locomotive;By Bryant, H Stanford;;;Random House~trade;5.29;January;1962
When Will Jesus Bring the Pork Chops?;By Carlin, George;"Now in paperback, the New York Times bestseller that takes readers on a riotous journey through the mind of one of America's premier comics George Carlin's legendary irreverence and iconoclasm are on full display in When Will Jesus Bring the Pork Chops? as he vainly scours the American landscape for signs of intelligence in his third national bestseller. Ranging from his absurdist side (Message from a Cockroach; TV News: The Death of Humpty Dumpty; Tips for Serial Killers) to his unerring ear for American speech (Politician Talk; Societal Clichs; Euphemisms: 13 sections) to his unsparing views on America and its values (War, God, Stuff Like That; Zero Tolerance; Tired of the Handi-crap), Carlin delivers everything that his fans expect, and then adds a few surprises. Carlin on the battle of the sexes: Here's all you have to know about men and women: Women are crazy, men are stupid. And the main reason women are crazy is that men are stupid."; Humor , Topic , Adult;Hyperion-Acquired Assets;4.99;October;2005
A New Treasury of Poetry;By Philip, Neil and Lawrence, John (ILT);The 288 poems, chosen for their appeal to young people, represent writers including Emily Dickinson, e.e. cummings, Langston Hughes, Gwendolyn Brooks, Dylan Thomas, R.L. Stevenson, W.B. Yeats, Walt Whitman, and William Blake. Illustrated throughout with magical woodcuts by John Lawrence. Annotation copyright Book News, Inc. Portland, Or.; Juvenile Nonfiction , General;Stewart Tabori & Chang;10.99;September;1990
It's Not Fair Pb;By Wolf, Anthony E.;"Anthony Wolf's groundbreaking book focuses on the most difficult challenges of parenting post-infant to pre-teen children—setting limits and making demands. Dr. Wolf covers all the class parenting problem areas: family disputes, including who's in charge (Mom or Dad), sibling fights, and divorce; day-to-day issues such as bedtime, grumpiness, and public tantrums; and problems that might not be problems after all, like aggression, lying, and spoiling. Positive, loving, and, above all, effective, this guide offers parents what they want most: more time to enjoy their children."; Family & Relationships , Parenting , General;Fsg Adult;5.29;April;1996
One Magical Sunday: (But Winning Isn't Everything);By Phillips, Donald T. and Mickelson, Phil;"It is a moment ingrained in the hearts and minds of millions, a moment of epic triumph and destiny fulfilled that will be remembered for the ages. But for Phil Mickelson, winning the 2004 Masters was merely another stop in an odyssey that began many years ago. Born into a sporting family, with a putter drawn on his birth announcement, Phil knew early on that golf would always be his passion. His parents embraced and nurtured that dream, but they taught him that winning isn't everything.In One Magical Sunday, Phil Mickelson takes us on a journey inside a life few have seen up close, but a life whose lessons can be cherished forever. As we travel hole-by-hole through that triumphant Sunday at the Masters, Phil looks back at the influences that made him the man he is today: his mom and dad, who mentored him on the balance between family and golf; his wife, Amy, who has given him so much happiness and fulfillment; and their three children, who remain their top priority.With personal insights from Phil's family and never-before-seen photos of his most treasured moments, One Magical Sunday is a book not only for Phil's millions of fans, but for everyone who finds inspiration in reading about a champion on and off the course."; Sports & Recreation , Golf;Grand Central Publishing;5.29;March;2005
A Mother's Legacy: Wisdom from Mothers to Daughters;By Rainey, Barbara (EDT) and Escue, Ashley Rainey;This pictorial memory album of mothers and daughters looks at a mother's legacy, a mother's teaching, and a mother's love and devotion. Stories from many mothers and daughters, some well-known, show how family values and traditions are passed from one generation to another. Beautifully illustrated. A Mother's Legacy also includes a presentation page for gift giving and includes space for personal reflections. A perfect gift for Mother's Day, baby showers, birthdays or Christmas.; Religion , Inspirational;Thomas Nelson Inc;5.29;April;2000
Life is an Attitude (Fifty-Minute S.);By Chapman, Elwood N.;Take charge of your attitude and take charge of your life with new strategies for beating negativity, eliminating doubts, and setting positive goals. Take charge of your attitude and take charge of your life with new strategies for beating negativity, eliminating doubts, and setting positive goals.; Self-help , Personal Growth , General;Crisp Pub Inc;4.99;June;1992
